#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Brand Designer,New York  NY  United States,https://ripple.com/careers/all-jobs/job/7462072/?gh_jid=7462072,30 Aug 2026,Direct company job board link.
2,Consensys, Senior Design Engineer - MetaMask,United States - Remote  EMEA - Remote,https://consensys.io/open-roles/7256954/?gh_jid=7256954,30 Aug 2026,Direct company job board link.
3,Worldcoin,Senior UX Designer  Industrial Design Team,San Francisco,https://world.org/job/5595752d-8a96-4ed7-8b3d-f565aeb8aec8,30 Aug 2026,Direct company job board link.
4,Gemini,Junior Brand Designer (Social),New York,https://boards.greenhouse.io/embed/job_app?for=gemini&token=7955267,30 Aug 2026,Pre-scraped job from database.
5,Coinbase,Staff Product Designer - Advanced Trade,Remote - USA,https://www.coinbase.com/careers/positions/7989037,30 Aug 2026,Pre-scraped job from database.
