#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Okx,Workplace IT Specialist,New York  United States,https://job-boards.greenhouse.io/okx/jobs/7808492003,08 Sep 2026,Direct company job board link.
2,Polymarket,Senior Data Scientist / Analyst  Institutional,New York,https://jobs.ashbyhq.com/polymarket/4bcdc897-3126-4d8e-ba8a-d398255cad6e,08 Sep 2026,Direct company job board link.
3,Chainalysis,Senior People Systems & Integrations Analyst,New York,https://jobs.ashbyhq.com/chainalysis-careers/f28e555e-ba54-4ea5-a41b-4c534438d019,08 Sep 2026,Direct company job board link.
4,Meshpay,Head of Forward Deployed Engineering,New York  NY,https://job-boards.greenhouse.io/mesh/jobs/5380179008,08 Sep 2026,Direct company job board link.
5,Rwa.xyz,Senior Research Analyst,New York City,https://jobs.ashbyhq.com/RWA.xyz/b3b035a7-3067-4639-998b-863476b22ae3,08 Sep 2026,Direct company job board link.
