#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Paxos,Data Platform Engineer,Remote - India,https://jobs.ashbyhq.com/paxos/f8cbcedf-5b3a-463c-82d1-0d80b9c34e42,30 Aug 2026,Direct company job board link.
2,Circle,Senior Analyst  Payment Operations,undefined: India,https://careers.circle.com/us/en/job/JR100964/Senior-Analyst-Payment-Operations,30 Aug 2026,Pre-scraped job from database.
3,Coinbase,Capacity Planning Lead,Hybrid - Bangalore  India,https://www.coinbase.com/careers/positions/8013889,30 Aug 2026,Pre-scraped job from database.
4,Paxos,GRC Analyst,Remote - India,https://jobs.ashbyhq.com/paxos/8ce958f4-ddf4-4e48-95f4-7fe790381733,30 Aug 2026,Direct company job board link.
5,Circle,Senior AML Analyst  Sanctions,undefined: India,https://careers.circle.com/us/en/job/JR101014/Senior-AML-Analyst-Sanctions,30 Aug 2026,Pre-scraped job from database.
