#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Professional Services Consultant  Payments,Chicago  Illinois  United States,https://ripple.com/careers/all-jobs/job/7980840/?gh_jid=7980840,30 Aug 2026,Direct company job board link.
2,Circle,Senior Analyst  Payment Operations,undefined: India,https://careers.circle.com/us/en/job/JR100964/Senior-Analyst-Payment-Operations,30 Aug 2026,Pre-scraped job from database.
3,Coinbase,Senior Staff Software Engineer  Payments,Remote - USA,https://www.coinbase.com/careers/positions/7769273,30 Aug 2026,Pre-scraped job from database.
4,Fireblocks,Business Solutions Director  Payments,Singapore,https://www.fireblocks.com/careers/position?gh_jid=4701943006,30 Aug 2026,Direct company job board link.
5,Ripple,Senior Manager  Software Engineering – Payments Orchestration,San Francisco  CA  United States,https://ripple.com/careers/all-jobs/job/7786549/?gh_jid=7786549,30 Aug 2026,Direct company job board link.
