#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Coinbase,Senior Internal Communications Manager  People,Remote - USA,https://www.coinbase.com/careers/positions/8162914?gh_jid=8162914,08 Sep 2026,Direct company job board link.
2,Kraken,Marketing Manager  CRM Operations ,United States,https://jobs.ashbyhq.com/kraken.com/3bd70487-d97d-47f1-b6f7-7700c17b3bd4,08 Sep 2026,Direct company job board link.
3,Coinmarketcap,Senior Marketing Specialist,Global,https://jobs.lever.co/coinmarketcap/b71b07d0-5a27-4101-b30d-ea442a2e096f,08 Sep 2026,Direct company job board link.
4,Polymarket,Performance Marketing Lead  International,New York,https://jobs.ashbyhq.com/polymarket/e6fc54f3-339e-4196-a221-53e8d7c2049f,08 Sep 2026,Direct company job board link.
5,Windranger,Mantle Squad US – Marketing & Growth,New York,https://jobs.ashbyhq.com/windranger/83df91bb-55ba-4f01-b586-659f2c2c5172,08 Sep 2026,Direct company job board link.
