#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Coinbase,SAM Compliance Lead Analyst,Hybrid - Luxembourg,https://www.coinbase.com/careers/positions/8052192?gh_jid=8052192,08 Sep 2026,Direct company job board link.
2,Circle,Principal Product Manager  TradFi,US,https://careers.circle.com/us/en/job/JR100881/Principal-Product-Manager-TradFi,08 Sep 2026,Pre-scraped job from database.
3,Kraken,Marketing Manager  CRM Operations ,United States,https://jobs.ashbyhq.com/kraken.com/3bd70487-d97d-47f1-b6f7-7700c17b3bd4,08 Sep 2026,Direct company job board link.
4,Trmlabs,Business Development Executive  Public Sector (Europe),United Kingdom,https://jobs.ashbyhq.com/trm-labs/fa2669bc-c77f-42a3-bae5-2c71d16ecca5,08 Sep 2026,Direct company job board link.
5,Impossiblecloud,Sales Development Representative (Cloud Services),Hamburg,https://jobs.lever.co/impossiblecloud/93b2b790-f749-4aa8-9896-813643c2edc9,08 Sep 2026,Direct company job board link.
