#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Paxos,Technical Support Engineer,Singapore - Hybrid,https://jobs.ashbyhq.com/paxos/7642ced7-423e-4502-b4af-49208fa37397,30 Aug 2026,Direct company job board link.
2,Ripple,Client Support Analyst,Toronto  Canada,https://ripple.com/careers/all-jobs/job/8142058/?gh_jid=8142058,30 Aug 2026,Direct company job board link.
3,Gemini,Senior Fraud Strategist,New York,https://boards.greenhouse.io/embed/job_app?for=gemini&token=7905301,30 Aug 2026,Pre-scraped job from database.
4,Coinbase,Customer Success Specialist II,Remote - Cyprus,https://www.coinbase.com/careers/positions/7759747,30 Aug 2026,Pre-scraped job from database.
5,Fireblocks,Front Line Support Engineer - East Coast,United States,https://www.fireblocks.com/careers/position?gh_jid=4704413006,30 Aug 2026,Direct company job board link.
