#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Paxos,Technical Support Engineer,Singapore - Hybrid,https://jobs.ashbyhq.com/paxos/7642ced7-423e-4502-b4af-49208fa37397,30 Aug 2026,Direct company job board link.
2,Ripple,Engineering Manager  Digital Assets,Chicago  Illinois  United States,https://ripple.com/careers/all-jobs/job/8129139/?gh_jid=8129139,30 Aug 2026,Direct company job board link.
3,Consensys, Senior Design Engineer - MetaMask,United States - Remote  EMEA - Remote,https://consensys.io/open-roles/7256954/?gh_jid=7256954,30 Aug 2026,Direct company job board link.
4,Worldcoin,Senior Machine Learning Engineer,Munich,https://world.org/job/95ed783b-70a9-4f90-87eb-8660310870aa,30 Aug 2026,Direct company job board link.
5,Circle,Principal Security Engineer  Detection & Response,undefined: Ireland,https://careers.circle.com/us/en/job/JR101051/Principal-Security-Engineer-Detection-Response,30 Aug 2026,Pre-scraped job from database.
