#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Fireblocks,Sales Director  Banking,Hong Kong,https://www.fireblocks.com/careers/position?gh_jid=4690394006,30 Aug 2026,Direct company job board link.
2,Wintermute,Prediction Markets Trader,Hong Kong,https://jobs.lever.co/wintermute-trading/13a2e3df-cf2d-4eae-8b10-d7138d42c916,30 Aug 2026,Direct company job board link.
3,Crypto,Assistant Manager  Financial and Management Reporting,Hong Kong,https://jobs.lever.co/crypto/b8182b66-c109-4a81-a091-ca00ccd7201c,30 Aug 2026,Direct company job board link.
4,Okx,Administration Expert  Global Strategic & Digitalization COE,Hong Kong  Hong Kong SAR,https://job-boards.greenhouse.io/okx/jobs/5949501003,30 Aug 2026,Direct company job board link.
5,Fireblocks,Sales Engineer,Hong Kong,https://www.fireblocks.com/careers/position?gh_jid=4606870006,30 Aug 2026,Direct company job board link.
