#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Principal Technical Program Manager,San Francisco  CA  United States,https://ripple.com/careers/all-jobs/job/7904761/?gh_jid=7904761,30 Aug 2026,Direct company job board link.
2,Circle,Principal Product Operations And Risk Analyst,US,https://careers.circle.com/us/en/job/JR100869/Principal-Product-Operations-and-Risk-Analyst,30 Aug 2026,Pre-scraped job from database.
3,Ninjatrader,Principal Software Engineer  Trading Systems,Chicago,https://job-boards.greenhouse.io/ninjatrader/jobs/4559838006,30 Aug 2026,Direct company job board link.
4,Figure,Senior Financial Portfolio Analyst – Servicing,Remote,https://job-boards.greenhouse.io/figure/jobs/8643444002,30 Aug 2026,Direct company job board link.
5,Okx,Principal Product Manager  Affiliate & KOL - Onshore Markets,Hong Kong  Hong Kong SAR; Singapore  Singapore,https://job-boards.greenhouse.io/okx/jobs/7777902003,30 Aug 2026,Direct company job board link.
