#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Trmlabs,Backend Engineer  Agent Tools,United States,https://jobs.ashbyhq.com/trm-labs/1eff4d33-7cf1-4682-a548-dcc4abd913f3,06 Sep 2026,Direct company job board link.
2,Impossiblecloud,Product Manager / Director – GPU & AI Services,Hamburg,https://jobs.lever.co/impossiblecloud/78255efa-0423-4cf3-9bd8-8229e150616b,06 Sep 2026,Direct company job board link.
3,Moonpay,Staff Machine Learning Engineer,London - Hybrid,https://jobs.lever.co/moonpay/a12369da-ded2-4798-b176-b22928e9cf21,06 Sep 2026,Direct company job board link.
4,Okx,AI Agent Product Expert (Middleware) ,Hong Kong  Hong Kong SAR,https://job-boards.greenhouse.io/okx/jobs/7731745003,06 Sep 2026,Direct company job board link.
5,Trmlabs,Senior Data Engineer - AI Platform,United States,https://jobs.ashbyhq.com/trm-labs/45e886bf-748d-41cb-9748-258440d12b61,06 Sep 2026,Direct company job board link.
