#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Anchorage,Trading Operations Team Lead,United States,https://jobs.lever.co/anchorage/b3c332bc-ffc5-4a2f-ab3e-de136d326408,08 Sep 2026,Direct company job board link.
2,Binance,Senior Data Analyst  Trading,Asia,https://jobs.lever.co/binance/e92d8b5f-0f0a-4569-884f-4f45c8ad024c,08 Sep 2026,Direct company job board link.
3,Freedx,Senior Trading Behavior & Flow Risk Analyst,Remote,https://apply.workable.com/freedx/j/53837BBE09/,08 Sep 2026,Pre-scraped job from database.
4,Robinhood,Customer Experience Representative  Active Trader,Chicago  IL; Denver  CO; Westlake  TX,https://boards.greenhouse.io/robinhood/jobs/8011599?gh_src=NaN&gh_jid=8011599,08 Sep 2026,Pre-scraped job from database.
5,Freedx,Python Trading Research Analyst,Remote,https://apply.workable.com/freedx/j/C5153916B3/,08 Sep 2026,Pre-scraped job from database.
