#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Business Development Director - RippleX,London  UK,https://ripple.com/careers/all-jobs/job/8042882/?gh_jid=8042882,30 Aug 2026,Direct company job board link.
2,Worldcoin,Director of AI & Biometrics,Munich,https://world.org/job/d9699a18-5272-4389-bc02-65f5cb1f3de9,30 Aug 2026,Direct company job board link.
3,Circle,Director  Brazil Compliance Officer & MLRO,undefined: Brazil,https://careers.circle.com/us/en/job/JR101047/Director-Brazil-Compliance-Officer-MLRO,30 Aug 2026,Pre-scraped job from database.
4,Fireblocks,Business Solutions Director  Payments,Singapore,https://www.fireblocks.com/careers/position?gh_jid=4701943006,30 Aug 2026,Direct company job board link.
5,Figure,Director  Digital Assets FinOps,Remote,https://job-boards.greenhouse.io/figure/jobs/8733533002,30 Aug 2026,Direct company job board link.
