#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Okx,Senior Product Designer  Wallets,Hong Kong  Hong Kong SAR,https://job-boards.greenhouse.io/okx/jobs/7985087003,08 Sep 2026,Direct company job board link.
2,Polymarket,Creative Ops Lead,New York,https://jobs.ashbyhq.com/polymarket/031c38a6-3c76-4440-8569-b070c744d9a9,08 Sep 2026,Direct company job board link.
3,Binance,Binance Accelerator Program - Graphic Design (MENA),UAE  Dubai,https://jobs.lever.co/binance/3785f1c4-3d3a-494a-9d0b-51e68f84ac08,08 Sep 2026,Direct company job board link.
4,Alpaca,Senior Graphic Designer,Remote - North America,https://job-boards.greenhouse.io/alpaca/jobs/5744207004,08 Sep 2026,Direct company job board link.
5,Asterdex,Creative Designer,APAC,https://jobs.lever.co/pioneer-services/d9ad7005-3b50-44de-ba62-d4ce48c3c907,08 Sep 2026,Direct company job board link.
