#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Senior Ecosystem Growth Manager,Miami  FL  United States; New York  NY  United States; São Paulo  Brazil,https://ripple.com/careers/all-jobs/job/7646353/?gh_jid=7646353,30 Aug 2026,Direct company job board link.
2,Consensys,Product Marketing Lead - Trade,UNITED STATES - Remote  EMEA - Remote  LATAM - Remote,https://consensys.io/open-roles/8048308/?gh_jid=8048308,30 Aug 2026,Direct company job board link.
3,Circle,Senior Manager  Partner Management  LATAM,undefined: Brazil,https://careers.circle.com/us/en/job/JR100929/Senior-Manager-Partner-Management-LATAM,30 Aug 2026,Pre-scraped job from database.
4,Coinbase,Software Engineer  Enterprise Apps,Remote - Brazil,https://www.coinbase.com/careers/positions/8024814,30 Aug 2026,Pre-scraped job from database.
5,Fireblocks,Mobile Engineer (Remote),Bogotá  Bogotá  Colombia; Buenos Aires  Buenos Aires  Argentina; Mexico City  Mexico City  Mexico; São Paulo  São Paulo  Brazil; Toronto  Ontario  Canada,https://www.fireblocks.com/careers/position?gh_jid=4652122006,30 Aug 2026,Direct company job board link.
