#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Manager  AI Platform Engineering,Chicago  Illinois  United States,https://ripple.com/careers/all-jobs/job/8129099/?gh_jid=8129099,30 Aug 2026,Direct company job board link.
2,Worldcoin,Director of AI & Biometrics,Munich,https://world.org/job/d9699a18-5272-4389-bc02-65f5cb1f3de9,30 Aug 2026,Direct company job board link.
3,Coinbase,Senior Site Reliability Engineer  Core AI Infrastructure,Remote - USA,https://www.coinbase.com/careers/positions/7847431,30 Aug 2026,Pre-scraped job from database.
4,Fireblocks,Data Analytics AI Engineer,New York,https://www.fireblocks.com/careers/position?gh_jid=4684691006,30 Aug 2026,Direct company job board link.
5,Trmlabs,AI Research Engineer,North America,https://jobs.ashbyhq.com/trm-labs/b9733033-ed7b-409b-8881-855f49002177,30 Aug 2026,Direct company job board link.
