#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Staff Software Engineer  Infrastructure ,Geneva  Switzerland,https://ripple.com/careers/all-jobs/job/7930645/?gh_jid=7930645,30 Aug 2026,Direct company job board link.
2,Sygnum,Senior Software Engineer  Core Banking,Zurich  Switzerland,https://sygnumpeopleportal.my.salesforce-sites.com/recruit/fRecruit__ApplyJob?vacancyNo=VN116,30 Aug 2026,Pre-scraped job from database.
3,Fireblocks,Sales Engineer  Banking ,Berlin  Berlin  Germany; Netherlands  Netherlands; Zürich  Switzerland,https://www.fireblocks.com/careers/position?gh_jid=4684189006,30 Aug 2026,Direct company job board link.
4,Numeus,Crypto Manager Research Analyst,Zug  Switzerland,https://job-boards.eu.greenhouse.io/numus/jobs/4960528101,30 Aug 2026,Direct company job board link.
5,Blockstream,Delivery Project Manager,Zurich,https://jobs.ashbyhq.com/blockstream/a00b13e2-2ca5-4aee-84a5-172fba5b5328,30 Aug 2026,Direct company job board link.
