#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Business Development Director - RippleX,London  UK,https://ripple.com/careers/all-jobs/job/8042882/?gh_jid=8042882,30 Aug 2026,Direct company job board link.
2,Fireblocks,Business Solutions Director  Payments,London,https://www.fireblocks.com/careers/position?gh_jid=4700949006,30 Aug 2026,Direct company job board link.
3,Kraken,Global Head of KOL - Kraken Pro,United Kingdom,https://jobs.ashbyhq.com/kraken.com/69cc0fbb-a7f5-4170-abf0-4fcee84fd487,30 Aug 2026,Direct company job board link.
4,Jumpcrypto,Campus Full-Time Crypto Researcher 2026 LDN,London,https://job-boards.greenhouse.io/jumpcrypto/jobs/7374012,30 Aug 2026,Direct company job board link.
5,Blockchain,Content  Social and Community Manager,London,https://job-boards.greenhouse.io/blockchain/jobs/8066864,30 Aug 2026,Direct company job board link.
