#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Senior Manager  Marketing Analytics,New York  NY  United States,https://ripple.com/careers/all-jobs/job/7972221/?gh_jid=7972221,30 Aug 2026,Direct company job board link.
2,Circle,Staff Data Scientist - Payments,US,https://careers.circle.com/us/en/job/JR101067/Staff-Data-Scientist-Payments,30 Aug 2026,Pre-scraped job from database.
3,Coinbase,Analytics Engineer  GFCO Analytics,Remote - USA,https://www.coinbase.com/careers/positions/8024880,30 Aug 2026,Pre-scraped job from database.
4,Fireblocks,Data Analytics AI Engineer,New York,https://www.fireblocks.com/careers/position?gh_jid=4684691006,30 Aug 2026,Direct company job board link.
5,Ether-fi,Data Insights & Analytics Lead,Cayman,https://jobs.ashbyhq.com/ether.fi/3c75c6ae-9c83-401b-912c-af63f93fc14c,30 Aug 2026,Direct company job board link.
