#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Lead Technical Recruiter (Quant Engineering),New York  NY  United States,https://ripple.com/careers/all-jobs/job/7647376/?gh_jid=7647376,30 Aug 2026,Direct company job board link.
2,Circle,Senior HR Business Partner,US,https://careers.circle.com/us/en/job/JR100975/Senior-HR-Business-Partner,30 Aug 2026,Pre-scraped job from database.
3,Coinbase,HR Business Partner,Remote - USA,https://www.coinbase.com/careers/positions/7997879,30 Aug 2026,Pre-scraped job from database.
4,Fireblocks,Senior Talent Acquisition Partner - GTM ,New York,https://www.fireblocks.com/careers/position?gh_jid=4709413006,30 Aug 2026,Direct company job board link.
5,Fuellabs,Join Our Talent Network !,Portugal,https://jobs.lever.co/fuellabs/17b28ec2-97ee-4912-876d-0c42c85e90c2,30 Aug 2026,Direct company job board link.
