#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Paxos,Head of Communications,New York - Hybrid,https://jobs.ashbyhq.com/paxos/7cd00d67-dcc9-4da8-8f0c-6faf335b86cd,30 Aug 2026,Direct company job board link.
2,Ripple,Brand Designer,New York  NY  United States,https://ripple.com/careers/all-jobs/job/7462072/?gh_jid=7462072,30 Aug 2026,Direct company job board link.
3,Consensys,Product Marketing Lead - Trade,UNITED STATES - Remote  EMEA - Remote  LATAM - Remote,https://consensys.io/open-roles/8048308/?gh_jid=8048308,30 Aug 2026,Direct company job board link.
4,Gemini,Junior Brand Designer (Social),New York,https://boards.greenhouse.io/embed/job_app?for=gemini&token=7955267,30 Aug 2026,Pre-scraped job from database.
5,Ninjatrader,Creator & Influencer Manager,Chicago or Remote*,https://job-boards.greenhouse.io/ninjatrader/jobs/4694857006,30 Aug 2026,Direct company job board link.
