#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Coinbase,SAM Compliance Lead Analyst,Hybrid - Luxembourg,https://www.coinbase.com/careers/positions/8052192?gh_jid=8052192,08 Sep 2026,Direct company job board link.
2,Kraken,Internal Audit Financial Crime & Conduct Manager,United Kingdom,https://jobs.ashbyhq.com/kraken.com/042f0568-49a6-4c25-b7a2-c578844b1e2f,08 Sep 2026,Direct company job board link.
3,Blockchain,Compliance Analytics Associate ,Buenos Aires,https://job-boards.greenhouse.io/blockchain/jobs/8155035,08 Sep 2026,Direct company job board link.
4,Bitgo,Associate General Counsel,Singapore,https://job-boards.greenhouse.io/bitgo/jobs/8627534002,08 Sep 2026,Direct company job board link.
5,Coinbase,Senior Analyst  Compliance Technology,Remote - USA,https://www.coinbase.com/careers/positions/8067443?gh_jid=8067443,08 Sep 2026,Direct company job board link.
