#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Engineering Manager  Digital Assets,Chicago  Illinois  United States,https://ripple.com/careers/all-jobs/job/8129139/?gh_jid=8129139,30 Aug 2026,Direct company job board link.
2,Circle,Staff Data Scientist - Digital Assets,US,https://careers.circle.com/us/en/job/JR101068/Staff-Data-Scientist-Digital-Assets,30 Aug 2026,Pre-scraped job from database.
3,Sygnum,Senior Software Engineer  Custody Value Stream (80-100%),Zurich  Switzerland,https://sygnumpeopleportal.my.salesforce-sites.com/recruit/fRecruit__ApplyJob?vacancyNo=VN142,30 Aug 2026,Pre-scraped job from database.
4,Fireblocks,Sales Director  - Qualified Custody,New York,https://www.fireblocks.com/careers/position?gh_jid=4692701006,30 Aug 2026,Direct company job board link.
5,Blockstream,Software Engineer  Enterprise Custody,United States,https://jobs.ashbyhq.com/blockstream/5da66738-0b81-4015-b3c7-c0326a8ffc76,30 Aug 2026,Direct company job board link.
