#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Paxos,Head of Communications,New York - Hybrid,https://jobs.ashbyhq.com/paxos/7cd00d67-dcc9-4da8-8f0c-6faf335b86cd,30 Aug 2026,Direct company job board link.
2,Ripple,Brand Designer,New York  NY  United States,https://ripple.com/careers/all-jobs/job/7462072/?gh_jid=7462072,30 Aug 2026,Direct company job board link.
3,Gemini,Junior Brand Designer (Social),New York,https://boards.greenhouse.io/embed/job_app?for=gemini&token=7955267,30 Aug 2026,Pre-scraped job from database.
4,Fireblocks,Data Analytics AI Engineer,New York,https://www.fireblocks.com/careers/position?gh_jid=4684691006,30 Aug 2026,Direct company job board link.
5,Paxoslabs,DeFi Researcher,In-Person or Remote | NYC Preferred ,https://jobs.ashbyhq.com/paxoslabs/affdb43c-5a07-4964-ba97-049eb7bfcdd5,30 Aug 2026,Direct company job board link.
