#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Lead Technical Recruiter (Quant Engineering),New York  NY  United States,https://ripple.com/careers/all-jobs/job/7647376/?gh_jid=7647376,30 Aug 2026,Direct company job board link.
2,Monad,Quantitative Researcher,Remote,https://jobs.ashbyhq.com/monad.foundation/9b6bdf21-f522-4ac6-a1e9-6b1c34a2ef0d,30 Aug 2026,Direct company job board link.
3,Gemini,Associate  Growth Marketing (Advanced Trading Products),New York,https://boards.greenhouse.io/embed/job_app?for=gemini&token=7951043,30 Aug 2026,Pre-scraped job from database.
4,Coinbase,Senior Software Engineer - Trading,Remote - Singapore,https://www.coinbase.com/careers/positions/7866674,30 Aug 2026,Pre-scraped job from database.
5,Ninjatrader,Principal Software Engineer  Trading Systems,Chicago,https://job-boards.greenhouse.io/ninjatrader/jobs/4559838006,30 Aug 2026,Direct company job board link.
