#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Ripple,Customer Success Manager,London  UK,https://ripple.com/careers/all-jobs/job/8141304/?gh_jid=8141304,06 Sep 2026,Direct company job board link.
2,Ripple,Renewals Manager  EMEA,London  UK,https://ripple.com/careers/all-jobs/job/8179167/?gh_jid=8179167,06 Sep 2026,Direct company job board link.
3,Ripple,Senior Manager  Marketing Analytics,New York  NY  United States,https://ripple.com/careers/all-jobs/job/7972221/?gh_jid=7972221,06 Sep 2026,Direct company job board link.
4,Ripple,Senior Manager  Software Engineering – Identity Platform,San Francisco  CA  United States,https://ripple.com/careers/all-jobs/job/8030741/?gh_jid=8030741,06 Sep 2026,Direct company job board link.
5,Ripple,Senior Manager  Software Engineering – Payments Orchestration,San Francisco  CA  United States,https://ripple.com/careers/all-jobs/job/7786549/?gh_jid=7786549,06 Sep 2026,Direct company job board link.
