#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Paxos,Technical Support Engineer,Singapore - Hybrid,https://jobs.ashbyhq.com/paxos/7642ced7-423e-4502-b4af-49208fa37397,30 Aug 2026,Direct company job board link.
2,Ripple,Senior Software Engineer,Sydney  New South Wales  Australia,https://ripple.com/careers/all-jobs/job/8069849/?gh_jid=8069849,30 Aug 2026,Direct company job board link.
3,Monad,Head of Japan,Japan,https://jobs.ashbyhq.com/monad.foundation/64b15075-270b-4e07-91a7-52a90f590da0,30 Aug 2026,Direct company job board link.
4,Circle,Senior Analyst  Payment Operations,undefined: India,https://careers.circle.com/us/en/job/JR100964/Senior-Analyst-Payment-Operations,30 Aug 2026,Pre-scraped job from database.
5,Gemini,Staff Software Engineer  Trading Systems (Post-Trade Data),Singapore,https://boards.greenhouse.io/embed/job_app?for=gemini&token=7985650,30 Aug 2026,Pre-scraped job from database.
