#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Paxos,Global Head of Public Policy,Remote - United States,https://jobs.ashbyhq.com/paxos/f7c3d7cc-2e9f-43d5-89f5-debc44d006df,30 Aug 2026,Direct company job board link.
2,Arbitrumfoundation,Head of Ecosystem Growth,Europe,https://jobs.lever.co/arbitrumfoundation/5c02b8eb-58c4-47e5-ab5f-34ac1820d4a9,30 Aug 2026,Direct company job board link.
3,Ripple,Brand Designer,New York  NY  United States,https://ripple.com/careers/all-jobs/job/7462072/?gh_jid=7462072,30 Aug 2026,Direct company job board link.
4,Consensys,Product Marketing Lead - Trade,UNITED STATES - Remote  EMEA - Remote  LATAM - Remote,https://consensys.io/open-roles/8048308/?gh_jid=8048308,30 Aug 2026,Direct company job board link.
5,Worldcoin,Director of AI & Biometrics,Munich,https://world.org/job/d9699a18-5272-4389-bc02-65f5cb1f3de9,30 Aug 2026,Direct company job board link.
