#,Company,Role Title,Location / Remote,Direct Job Link,Date Found,Notes
1,Trmlabs,Growth Lead  Consumer Fraud Reporting,United States,https://jobs.ashbyhq.com/trm-labs/73b2f6bd-7f59-4378-8b9f-b0921489c8ef,06 Sep 2026,Direct company job board link.
2,Iftother,Head of Business Development - Logos,Remote (Worldwide),https://job-boards.greenhouse.io/iftother/jobs/8152733,06 Sep 2026,Direct company job board link.
3,Impossiblecloud,Inside Sales Manager  - Cloud Services,Hamburg,https://jobs.lever.co/impossiblecloud/046c0e1d-afba-4dec-9c85-515b4a1ca15b,06 Sep 2026,Direct company job board link.
4,Orderlynetwork,Associate  Ecosystem Growth & BD,China,https://job-boards.greenhouse.io/orderly/jobs/4570542008,06 Sep 2026,Direct company job board link.
5,Gauntlet,Business Development  APAC,Singapore / Hong Kong,https://jobs.lever.co/gauntlet/494b0acc-7cfa-4a58-b5dc-c3c914f5d394,06 Sep 2026,Direct company job board link.
